	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
71	71	18.0	0.0942	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
72	72	18.0	0.0864	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
73	73	1.0	0.0638	shower, morning, overnight, thunderstorm, drizzle, yesterday, afternoon, noon, 2, fog
74	74	18.0	0.089	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
75	75	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
76	76	18.0	0.096	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
77	77	18.0	0.1346	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
78	78	7.0	0.0629	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49
79	79	18.0	0.1001	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
80	80	18.0	0.062	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
81	81	11.0	0.0629	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle
82	82	18.0	0.0817	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
83	83	4.0	0.098	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27
84	84	18.0	0.0911	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
85	85	2.0	0.0743	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500
86	86	18.0	0.0919	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
87	87	18.0	0.0608	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
88	88	18.0	0.0791	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
89	89	18.0	0.0791	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
90	90	18.0	0.0935	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
91	91	13.0	0.0629	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25
92	92	18.0	0.1331	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
93	93	9.0	0.075	low, temp, degree, inch, nw, davis, tb, coco, 002, 39
94	94	18.0	0.0668	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
95	95	18.0	0.0629	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
96	96	18.0	0.1276	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
97	97	18.0	0.0647	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
98	98	18.0	0.0922	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
99	99	18.0	0.0642	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
100	100	18.0	0.0617	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
101	101	18.0	0.0785	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
102	102	18.0	0.0931	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
103	103	18.0	0.0976	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted
