	Dominant_Topic	Topic_Keywords	Num_Documents	Perc_Documents
77	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
78	7.0	pm, 3, 2, 4, 11, lot, windy, intermittent, 8, 49		
79	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
80	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
81	11.0	rain, evening, afternoon, night, nice, steady, morning, tstorm, quick, gentle		
82	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
83	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
84	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
85	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
86	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
87	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
88	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
89	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
90	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
91	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
92	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
93	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
94	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
95	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
96	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
97	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
98	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
99	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
100	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
101	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
102	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
103	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
104	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
105	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
106	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
107	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
108	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
109	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
110	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
111	0.0	hr, collected, late, continuing, ending, began, fall, falling, 0700, ended		
112	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
113	2.0	light, sprinkle, rain, early, pm, falling, continued, ended, 0530, 0500		
114	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
115	4.0	gauge, rain, event, read, neighbor, town, wet, empty, broken, 27		
116	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
117	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
118	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
119	12.0	late, early, trace, 0000”, light, 0700, observed, precipitation, data, windshield		
120	5.0	minute, hour, 9, 10, 45, 24, period, 67, 71, 72		
121	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
122	13.0	mph, clear, 02, 14, 03, 0, 13, 23, 72°, 25		
123	6.0	wind, max, mph, 15, 17, 20, 16, 18, 19, 13		
124	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
125	9.0	low, temp, degree, inch, nw, davis, tb, coco, 002, 39		
126	18.0	snow, 12, inch, monsoon, recorded, 1, year, ground, water, melted		
