	Document_No	Dominant_Topic	Topic_Perc_Contrib	Keywords
67	67	9.0	0.0676	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
68	68	9.0	0.0668	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
69	69	9.0	0.0676	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
70	70	9.0	0.0627	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
71	71	12.0	0.0624	day, night, warm, humidity, lot, higher, melted, period, mixmostly, creating
72	72	1.0	0.131	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
73	73	19.0	0.0791	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
74	74	9.0	0.0603	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
75	75	1.0	0.0736	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
76	76	19.0	0.0764	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
77	77	2.0	0.0647	cold, wind, strong, chilly, clearing, wam, return, 25, dustung, 025
78	78	1.0	0.0544	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
79	79	5.0	0.0555	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
80	80	9.0	0.0664	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
81	81	13.0	0.0617	cool, night, day, light, overcast, warm, started, 3, 7, ended
82	82	9.0	0.0635	windy, night, chilly, starting, lasting, town, part, partly, dusting, continuing
83	83	1.0	0.0587	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
84	84	10.0	0.073	cloud, sun, sprinkle, vacation, extremely, making, cumulative, midafternoon, measurement, total
85	85	19.0	0.0701	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
86	86	1.0	0.073	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
87	87	5.0	0.0608	night, chilly, wind, shower, high, estimate, hot, yesterday, gloomy, independent
88	88	19.0	0.1041	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
89	89	7.0	0.0587	rain, thunder, lightening, evening, hail, heavy, early, storm, time, pm
90	90	19.0	0.0827	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
91	91	19.0	0.0656	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
92	92	19.0	0.0629	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
93	93	19.0	0.0882	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
94	94	4.0	0.075	cloudy, morning, sprinkle, early, overnight, turning, clearing, fog, rainy, rainsnow
95	95	19.0	0.0732	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
96	96	19.0	0.0722	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
97	97	1.0	0.0756	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
98	98	1.0	0.0999	snow, melted, sleet, inch, ground, 2, wet, mixed, beebees, contact
99	99	19.0	0.0668	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
100	100	0.0	0.0585	night, day, chilly, sunny, accumulation, cloudy, small, thin, clear, heavy
101	101	19.0	0.0743	snow, rain, mix, flurry, 5, pellet, gauge, pm, sprinkle, drizzle
