	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
7	1957129	680	680		2015-06-25	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1954321	587	587		2015-06-26	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1957662	7647	7647		2015-06-26	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1971616	553	553		2015-06-26	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1957061	9236	9236		2015-06-26	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1954230	653	653	cloudy some wind hot  cool night 	2015-06-26	6	30	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1958841	679	679		2015-06-26	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016218	595	595		2015-06-26	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1957128	680	680		2015-06-26	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1955514	587	587		2015-06-27	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1957663	7647	7647		2015-06-27	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1971617	553	553		2015-06-27	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1957062	9236	9236		2015-06-27	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1955388	653	653	Hot   cooler at night 	2015-06-27	6	10	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1958842	679	679		2015-06-27	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016219	595	595		2015-06-27	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1957127	680	680		2015-06-27	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1956420	587	587		2015-06-28	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1957664	7647	7647		2015-06-28	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1971618	553	553		2015-06-28	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1956505	1150	1150		2015-06-28	7	0	Good	0.02			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1957063	9236	9236		2015-06-28	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1956012	653	653	thunder storm late afternoon  muggy  cool night 	2015-06-28	5	40	Good	0.1			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1958843	679	679		2015-06-28	7	0	Good	0.02			2006-12-11				TruChek		35.1611787679	-111.6702318192
7	2016231	595	595		2015-06-28	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
8	1956812	7273	7273		2015-06-28	5	52	Good	0.9			2013-05-07	Tru-Chek			TruChek		35.23565390095983	-111.6756852865214
9	1957125	680	680		2015-06-28	7	0	Good	0.030000000000000002			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1957228	587	587		2015-06-29	7	0	Good	0.05			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1957637	7647	7647		2015-06-29	7	0	Good	0.26			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1957843	725	725		2015-06-29	7	0	Good	0.16			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1958668	553	553		2015-06-29	7	0	Good	0.55			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1957027	8615	8615		2015-06-29	5	50	Good	0.77			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1957214	1150	1150		2015-06-29	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1957202	1368	1368		2015-06-29	7	0	Good	0.51			2007-07-14	N/A			TruChek		35.20373427094505	-111.63351237773895
7	1957028	9236	9236		2015-06-29	7	0	Good	0.5			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
8	1957069	653	653	warm day  humid  rain  shower mid afternoon  cool night 	2015-06-29	6	0	Good	0.01			2006-11-26				TruChek		35.1591394379	-111.6675120592
9	1957274	593	593		2015-06-29	7	0	Good	0.8400000000000001			2006-10-28				TruChek		35.2333161912	-111.6689443588
10	1958844	679	679		2015-06-29	7	0	Good	0.04			2006-12-11				TruChek		35.1611787679	-111.6702318192
11	2016232	595	595		2015-06-29	7	0	Good	1.11			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
12	1957124	680	680		2015-06-29	7	0	Good	0.01			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1958617	587	587		2015-06-30	7	0	Good	0.19			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1960433	7647	7647		2015-06-30	7	0	Good	0.6			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1958667	725	725		2015-06-30	7	0	Good	0.48000000000000004			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1958665	553	553		2015-06-30	7	0	Good	0.45			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1958238	8615	8615		2015-06-30	6	0	Good	0.45			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1958953	1150	1150		2015-06-30	7	0	Good	0.4			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1958242	1368	1368		2015-06-30	7	0	Good	0.36000000000000004			2007-07-14	N/A			TruChek		35.20373427094505	-111.63351237773895
7	1958826	9236	9236		2015-06-30	7	0	Good	0.45			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
8	1958213	653	653	ran late afternoon and again early evening  cool night	2015-06-30	5	55	Good	0.1			2006-11-26				TruChek		35.1591394379	-111.6675120592
9	1958239	593	593		2015-06-30	7	0	Good	0.31			2006-10-28				TruChek		35.2333161912	-111.6689443588
10	1958845	679	679		2015-06-30	7	0	Good	0.13			2006-12-11				TruChek		35.1611787679	-111.6702318192
11	2016233	595	595		2015-06-30	7	0	Good	0.25			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
12	1958811	7273	7273		2015-06-30	9	27	Good	0.5			2013-05-07	Tru-Chek			TruChek		35.23565390095983	-111.6756852865214
13	1961535	680	680		2015-06-30	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1960202	587	587		2015-07-01	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1960432	7647	7647		2015-07-01	7	0	Trace				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1960866	553	553		2015-07-01	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1960144	1150	1150		2015-07-01	7	0	Good	0.02			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1972622	9236	9236		2015-07-01	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1959365	653	653	hot humid day  clouds  no rain cool night 	2015-07-01	4	40	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1961580	679	679		2015-07-01	7	0	Trace				2006-12-11				TruChek		35.1611787679	-111.6702318192
7	2016234	595	595		2015-07-01	7	0	Good	0.01			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
8	1961534	680	680		2015-07-01	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1960916	587	587		2015-07-02	7	0	Good	0.05			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1963681	7647	7647		2015-07-02	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1961047	725	725		2015-07-02	7	0	Good	0.060000000000000005			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1960863	553	553		2015-07-02	7	0	Good	0.05			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1960917	8615	8615		2015-07-02	7	0	Good	0.04			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1960877	1150	1150		2015-07-02	7	0	Good	0.060000000000000005			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1972623	9236	9236		2015-07-02	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
7	1960841	653	653	muggy day  thunder in  afternoon  rain, thunder and lightening overnite 	2015-07-02	6	50	Good	0.01			2006-11-26				TruChek		35.1591394379	-111.6675120592
8	1960944	593	593		2015-07-02	7	0	Good	0.030000000000000002			2006-10-28				TruChek		35.2333161912	-111.6689443588
9	1961581	679	679		2015-07-02	7	0	Good	0.04			2006-12-11				TruChek		35.1611787679	-111.6702318192
10	2016236	595	595		2015-07-02	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
11	1961533	680	680		2015-07-02	7	0	Good	0.02			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1961560	587	587		2015-07-03	7	0	Trace				2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1963682	7647	7647		2015-07-03	7	0	Lost				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1961912	553	553		2015-07-03	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1961323	1150	1150		2015-07-03	7	0	Good	0.030000000000000002			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1961455	9236	9236		2015-07-03	7	0	Good	0.22			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1961235	653	653	rain thunder lightening  cool night	2015-07-03	6	50	Good	0.05			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1961439	593	593		2015-07-03	7	0	Good	0.08			2006-10-28				TruChek		35.2333161912	-111.6689443588
7	1961582	679	679		2015-07-03	7	0	Good	0.07			2006-12-11				TruChek		35.1611787679	-111.6702318192
8	2016237	595	595		2015-07-03	7	0	Good	0.1			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
9	1961361	7273	7273		2015-07-03	8	9	Good	0.2			2013-05-07	Tru-Chek			TruChek		35.23565390095983	-111.6756852865214
10	1961532	680	680		2015-07-03	7	0	Good	0.27			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1961870	587	587		2015-07-04	7	0	Good	0.62			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1963683	7647	7647		2015-07-04	7	0	Lost				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1962115	725	725		2015-07-04	7	0	Good	0.6900000000000001			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1961909	553	553		2015-07-04	7	0	Good	0.73			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1961750	8615	8615		2015-07-04	7	0	Good	0.66			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1963787	1150	1150		2015-07-04	1	0	Good	0.36000000000000004			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1962116	1368	1368		2015-07-04	7	0	Good	0.64			2007-07-14	N/A			TruChek		35.20373427094505	-111.63351237773895
7	1961880	9236	9236		2015-07-04	7	0	Good	0.65			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
8	1961766	653	653	clouds during day  thunder lightening and rain over night 	2015-07-04	6	20	Good	0.6			2006-11-26				TruChek		35.1591394379	-111.6675120592
9	1961749	593	593		2015-07-04	7	0	Good	0.8400000000000001			2006-10-28				TruChek		35.2333161912	-111.6689443588
10	1964316	679	679		2015-07-04	7	0	Good	0.52			2006-12-11				TruChek		35.1611787679	-111.6702318192
11	2016239	595	595		2015-07-04	7	0	Good	0.8200000000000001			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
12	1961759	7273	7273		2015-07-04	6	19	Good	0.9			2013-05-07	Tru-Chek			TruChek		35.23565390095983	-111.6756852865214
13	1963114	680	680		2015-07-04	7	0	Good	0.33			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1962540	587	587		2015-07-05	7	0	Good	0.04			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1963684	7647	7647		2015-07-05	7	0	Lost				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1962542	725	725		2015-07-05	7	0	Good	0.060000000000000005			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1963662	553	553		2015-07-05	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1962941	8615	8615		2015-07-05	7	0	Good	0.26			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1963788	1150	1150		2015-07-05	1	0	Good	0.08			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1962753	1368	1368		2015-07-05	7	0	Good	0.05			2007-07-14	N/A			TruChek		35.20373427094505	-111.63351237773895
7	1962580	9236	9236		2015-07-05	7	0	Good	0.05			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
8	1962273	653	653	clouds  rain thunder cool night 	2015-07-05	6	30	Good	0.1			2006-11-26				TruChek		35.1591394379	-111.6675120592
9	1962340	593	593		2015-07-05	7	0	Good	0.14			2006-10-28				TruChek		35.2333161912	-111.6689443588
10	1964317	679	679		2015-07-05	7	0	Good	0.04			2006-12-11				TruChek		35.1611787679	-111.6702318192
11	2016240	595	595		2015-07-05	7	0	Good	0.15			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
12	1963116	680	680		2015-07-05	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1963181	587	587		2015-07-06	7	0	Good	0.1			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1963685	7647	7647		2015-07-06	7	0	Lost				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1963692	725	725		2015-07-06	7	0	Good	0.17			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1963660	553	553		2015-07-06	7	0	Good	0.19			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1962942	8615	8615		2015-07-06	6	0	Good	0.04			2014-08-13	Stratus			TruChek		35.222056	-111.622419
5	1963158	1150	1150		2015-07-06	7	0	Good	0.54			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
6	1962937	9236	9236		2015-07-06	7	0	Trace				2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
7	1962927	653	653	cloudy  rain afternoon and over night thunder lightening cool	2015-07-06	5	30	Good	0.5			2006-11-26				TruChek		35.1591394379	-111.6675120592
8	1963659	593	593		2015-07-06	7	0	Good	0.04			2006-10-28				TruChek		35.2333161912	-111.6689443588
9	1964318	679	679		2015-07-06	7	0	Good	0.51			2006-12-11				TruChek		35.1611787679	-111.6702318192
10	2016241	595	595		2015-07-06	7	0	Good	0.04			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
11	1963322	7273	7273		2015-07-06	8	0	Good	0.1			2013-05-07	Tru-Chek			TruChek		35.23565390095983	-111.6756852865214
12	1963113	680	680	torrential	2015-07-06	7	0	Good	0.67			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1964129	587	587		2015-07-07	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1965219	7647	7647		2015-07-07	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1964699	553	553		2015-07-07	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1964160	1150	1150		2015-07-07	7	0	Good	0.02			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1972624	9236	9236		2015-07-07	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1964011	653	653	some clouds  cool night 	2015-07-07	5	30	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1964319	679	679		2015-07-07	7	0	Good	0.04			2006-12-11				TruChek		35.1611787679	-111.6702318192
7	2016249	595	595		2015-07-07	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
8	1965289	680	680		2015-07-07	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1964702	587	587		2015-07-08	7	0	Good	0.15			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1965220	7647	7647		2015-07-08	7	0	Good	0.26			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1964764	725	725		2015-07-08	7	0	Good	0.36000000000000004			2006-12-19				TruChek		35.1983338593	-111.5893042088
3	1964697	553	553		2015-07-08	7	0	Good	0.08			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
4	1964647	1150	1150		2015-07-08	7	0	Good	0.18000000000000002			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
5	1964851	9236	9236		2015-07-08	7	0	Good	0.030000000000000002			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
6	1964428	653	653	clouds  rain in afternoon cool night 	2015-07-08	5	40	Good	0.3			2006-11-26				TruChek		35.1591394379	-111.6675120592
7	1965193	679	679		2015-07-08	7	0	Good	0.17			2006-12-11				TruChek		35.1611787679	-111.6702318192
8	2016250	595	595		2015-07-08	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
9	1965288	680	680		2015-07-08	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1965033	587	587		2015-07-09	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1965221	7647	7647		2015-07-09	7	0	Good	0.0			2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1965908	553	553		2015-07-09	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1965918	1150	1150		2015-07-09	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1972625	9236	9236		2015-07-09	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1965325	653	653	some clouds  chilly night 	2015-07-09	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1965194	679	679		2015-07-09	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
7	2016251	595	595		2015-07-09	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
8	1965287	680	680		2015-07-09	7	0	Good	0.34			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1965391	587	587		2015-07-10	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1965909	553	553		2015-07-10	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1965919	1150	1150		2015-07-10	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
3	1972626	9236	9236		2015-07-10	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1965324	653	653	some clouds  some wind chilly night 	2015-07-10	5	40	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1967726	679	679		2015-07-10	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016252	595	595		2015-07-10	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1971304	680	680		2015-07-10	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1965896	587	587		2015-07-11	7	0	Good	0.01			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1965907	553	553		2015-07-11	7	0	Good	0.02			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1965747	8615	8615		2015-07-11	7	0	Good	0.04			2014-08-13	Stratus			TruChek		35.222056	-111.622419
3	1965917	1150	1150		2015-07-11	7	0	Good	0.02			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1965716	9236	9236		2015-07-11	7	0	Trace				2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1965673	653	653	rain very early this AM  warm day with wind chilly night 	2015-07-11	5	50	Trace				2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1965677	593	593		2015-07-11	7	0	Good	0.030000000000000002			2006-10-28				TruChek		35.2333161912	-111.6689443588
7	1967727	679	679		2015-07-11	7	0	Good	0.01			2006-12-11				TruChek		35.1611787679	-111.6702318192
8	2016253	595	595		2015-07-11	7	0	Good	0.02			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
9	1971306	680	680		2015-07-11	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1966117	587	587		2015-07-12	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1967520	553	553		2015-07-12	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1966176	1150	1150		2015-07-12	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
3	1972627	9236	9236		2015-07-12	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1966005	653	653	sunny some wind  cool night 	2015-07-12	6	10	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1967728	679	679		2015-07-12	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016254	595	595		2015-07-12	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1971307	680	680		2015-07-12	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1967122	587	587		2015-07-13	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1967521	553	553		2015-07-13	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1968476	1150	1150		2015-07-13	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
3	1972628	9236	9236		2015-07-13	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1966304	653	653	some clouds some wind cool night 	2015-07-13	5	30	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1967729	679	679		2015-07-13	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016255	595	595		2015-07-13	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1971308	680	680		2015-07-13	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1967670	587	587		2015-07-14	7	0	Good	0.18000000000000002			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1967698	725	725		2015-07-14	7	0	Good	0.35000000000000003			2006-12-19				TruChek		35.1983338593	-111.5893042088
2	1967519	553	553		2015-07-14	7	0	Good	0.05			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1967456	8615	8615		2015-07-14	7	0	Good	0.04			2014-08-13	Stratus			TruChek		35.222056	-111.622419
4	1967569	1150	1150		2015-07-14	7	0	Good	0.02			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
5	1972629	9236	9236		2015-07-14	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
6	1967421	653	653	overcast  thunder and lightening during the night but no rain	2015-07-14	6	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
7	1967730	679	679		2015-07-14	7	0	Trace				2006-12-11				TruChek		35.1611787679	-111.6702318192
8	2016307	595	595		2015-07-14	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
9	1971309	680	680		2015-07-14	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1968567	587	587	A little hail.	2015-07-15	7	0	Good	0.19			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1968499	725	725		2015-07-15	7	0	Good	0.36000000000000004			2006-12-19				TruChek		35.1983338593	-111.5893042088
2	1971601	553	553		2015-07-15	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1968462	1150	1150		2015-07-15	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
4	1972630	9236	9236		2015-07-15	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
5	1968191	653	653	cloudy humid no rain 	2015-07-15	6	5	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
6	1981772	679	679		2015-07-15	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
7	2016308	595	595		2015-07-15	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
8	1971310	680	680		2015-07-15	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1969105	587	587		2015-07-16	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1971602	553	553		2015-07-16	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1969455	1150	1150		2015-07-16	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
3	1972631	9236	9236		2015-07-16	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
4	1968946	653	653	some clouds  some wind  higher humidity but no rain	2015-07-16	5	50	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
5	1981773	679	679		2015-07-16	7	0	Absent				2006-12-11				TruChek		35.1611787679	-111.6702318192
6	2016309	595	595		2015-07-16	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
7	1971311	680	680		2015-07-16	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1970069	587	587		2015-07-17	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1971603	553	553		2015-07-17	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
2	1970136	1150	1150		2015-07-17	7	0	Good	0.0			2007-06-27	Davis			TruChek		35.1404892576	-111.6273003817
3	1972632	9236	9236		2015-07-17	7	0	Good	0.0			2015-05-05	Acu-Rite			TruChek		35.20164252987199	-111.6524605761515
