	readingId	gaugeId	gaugeRevisionId	remarks	readingDate	readingHour	readingMinute	quality	rainAmount	snowDepth	snowAccumulation	createdDate	brand	model	description	gaugeType	gaugeTypeOther	lat	lng
0	1865572	587	587		2015-01-08	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869896	7647	7647		2015-01-08	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1869358	553	553		2015-01-08	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1865822	653	653	sunny  some wind  cold night 	2015-01-08	7	0	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872510	679	679		2015-01-08	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1865845	595	595		2015-01-08	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1867927	680	680		2015-01-08	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1866184	587	587		2015-01-09	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869897	7647	7647		2015-01-09	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1869359	553	553		2015-01-09	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1865963	653	653	warm sunny day  cold night	2015-01-09	5	30	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872511	679	679		2015-01-09	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1868684	595	595		2015-01-09	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1867926	680	680		2015-01-09	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1867011	587	587		2015-01-10	7	0	Good	0.0			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
1	1869898	7647	7647		2015-01-10	7	0	Absent				2013-08-05	N/A			TruChek		35.22284881362918	-111.58765517408028
2	1869360	553	553		2015-01-10	7	0	Good	0.0			2006-11-05	Tru-Chek			TruChek		35.21917325440935	-111.60125495865941
3	1866939	653	653	SUNNY WARM DAY   CHILLY NIGHT 	2015-01-10	5	35	Good	0.0			2006-11-26				TruChek		35.1591394379	-111.6675120592
4	1872512	679	679		2015-01-10	7	0	Good	0.0			2006-12-11				TruChek		35.1611787679	-111.6702318192
5	1868685	595	595		2015-01-10	7	0	Good	0.0			2006-10-29	Davis			TippingBucketOrElectronic		35.23055555555555	-111.67305555555556
6	1867925	680	680		2015-01-10	7	0	Good	0.0			2006-12-11				TruChek		35.1216636821	-111.6888999939
0	1867627	587	587		2015-01-11	7	0	Good	0.07			2006-10-28	Productive Alternatives			TruChek		35.19287171411684	-111.5871262550354
